ORDER ID MODIFIED,PRODUCT NAME MODIFIED,CUSTOMER MODIFIED,QUANTITY MODIFIED,DISCOUNT MODIFIED,TAX MODIFIED,PROFIT MODIFIED,REGION MODIFIED,CATEGORY MODIFIED,RATING MODIFIED
1 MODIFIED,"ELDON BASE FOR STACKABLE STORAGE SHELF, PLATINUM" MODIFIED,MUHAMMED MACINTYRE MODIFIED,3 MODIFIED,-213.25 MODIFIED,38.94 MODIFIED,35 MODIFIED,NUNAVUT MODIFIED,STORAGE & ORGANIZATION MODIFIED,0.8 MODIFIED
2 MODIFIED,"1.7 CUBIC FOOT COMPACT ""CUBE"" OFFICE REFRIGERATORS" MODIFIED,BARRY FRENCH MODIFIED,293 MODIFIED,457.81 MODIFIED,208.16 MODIFIED,68.02 MODIFIED,NUNAVUT MODIFIED,APPLIANCES MODIFIED,0.58 MODIFIED
3 MODIFIED,"CARDINAL SLANT-D RING BINDER, HEAVY GAUGE VINYL" MODIFIED,BARRY FRENCH MODIFIED,293 MODIFIED,46.71 MODIFIED,8.69 MODIFIED,2.99 MODIFIED,NUNAVUT MODIFIED,BINDERS AND BINDER ACCESSORIES MODIFIED,0.39 MODIFIED
4 MODIFIED,R380 MODIFIED,CLAY ROZENDAL MODIFIED,483 MODIFIED,1198.97 MODIFIED,195.99 MODIFIED,3.99 MODIFIED,NUNAVUT MODIFIED,TELEPHONES AND COMMUNICATION MODIFIED,0.58 MODIFIED
5 MODIFIED,HOLMES HEPA AIR PURIFIER MODIFIED,CARLOS SOLTERO MODIFIED,515 MODIFIED,30.94 MODIFIED,21.78 MODIFIED,5.94 MODIFIED,NUNAVUT MODIFIED,APPLIANCES MODIFIED,0.5 MODIFIED
6 MODIFIED,G.E. LONGER-LIFE INDOOR RECESSED FLOODLIGHT BULBS MODIFIED,CARLOS SOLTERO MODIFIED,515 MODIFIED,4.43 MODIFIED,6.64 MODIFIED,4.95 MODIFIED,NUNAVUT MODIFIED,OFFICE FURNISHINGS MODIFIED,0.37 MODIFIED
7 MODIFIED,"ANGLE-D BINDERS WITH LOCKING RINGS, LABEL HOLDERS" MODIFIED,CARL JACKSON MODIFIED,613 MODIFIED,-54.04 MODIFIED,7.3 MODIFIED,7.72 MODIFIED,NUNAVUT MODIFIED,BINDERS AND BINDER ACCESSORIES MODIFIED,0.38 MODIFIED
8 MODIFIED,"SAFCO MOBILE DESK SIDE FILE, WIRE FRAME" MODIFIED,CARL JACKSON MODIFIED,613 MODIFIED,127.70 MODIFIED,42.76 MODIFIED,6.22 MODIFIED,NUNAVUT MODIFIED,STORAGE & ORGANIZATION MODIFIED, MODIFIED
9 MODIFIED,"SAFCO COMMERCIAL WIRE SHELVING, BLACK" MODIFIED,MONICA FEDERLE MODIFIED,643 MODIFIED,-695.26 MODIFIED,138.14 MODIFIED,35 MODIFIED,NUNAVUT MODIFIED,STORAGE & ORGANIZATION MODIFIED, MODIFIED
10 MODIFIED,XEROX 198 MODIFIED,DOROTHY BADDERS MODIFIED,678 MODIFIED,-226.36 MODIFIED,4.98 MODIFIED,8.33 MODIFIED,NUNAVUT MODIFIED,PAPER MODIFIED,0.38 MODIFIED
